Date,AUDUSD,NZDUSD,USDCAD
1/4/2016,0.728704,0.683293,1.38645
1/5/2016,0.718597,0.674582,1.39343
1/6/2016,0.716281,0.670107,1.3984
1/7/2016,0.708015,0.664319,1.40676
1/8/2016,0.701804,0.662559,1.4102
1/11/2016,0.6943,0.65189,1.4184
1/12/2016,0.698714,0.655609,1.4222
1/13/2016,0.698714,0.654493,1.4255
1/14/2016,0.693577,0.648719,1.4351
1/15/2016,0.699692,0.649014,1.43446
1/18/2016,0.686106,0.64433,1.4578
1/19/2016,0.6879,0.645453,1.45445
1/20/2016,0.691706,0.640287,1.45632
1/21/2016,0.693722,0.646287,1.4475
1/22/2016,0.701607,0.654579,1.42708
1/25/2016,0.700403,0.647501,1.41406
1/26/2016,0.693914,0.644912,1.4296
1/27/2016,0.700722,0.650787,1.4118
1/28/2016,0.701607,0.642715,1.40948
1/29/2016,0.708617,0.648004,1.40343
2/1/2016,0.706864,0.646998,1.39728
2/2/2016,0.711086,0.654579,1.395
2/3/2016,0.702988,0.652018,1.406
2/4/2016,0.715461,0.664717,1.37942
2/5/2016,0.719942,0.672993,1.37552
2/8/2016,0.708617,0.662998,1.3883
2/9/2016,0.707914,0.661901,1.3925
2/10/2016,0.706714,0.664231,1.38832
2/11/2016,0.710379,0.668494,1.3923
2/12/2016,0.712403,0.671501,1.39163
2/15/2016,0.711693,0.664011,1.38368
2/16/2016,0.714796,0.664894,1.38219
2/17/2016,0.711997,0.658198,1.38652
2/18/2016,0.717618,0.663394,1.36774
2/19/2016,0.715001,0.664496,1.37379
2/22/2016,0.714286,0.662603,1.3789
2/23/2016,0.723484,0.671411,1.3703
2/24/2016,0.71958,0.664011,1.3797
2/25/2016,0.719476,0.666445,1.3703
2/26/2016,0.723589,0.6749,1.3544
2/29/2016,0.712809,0.659196,1.3547
3/1/2016,0.714286,0.660415,1.35374
3/2/2016,0.718184,0.664099,1.3427
3/3/2016,0.72881,0.6664,1.3429
3/4/2016,0.735781,0.672495,1.3406
3/7/2016,0.741141,0.678979,1.333
3/8/2016,0.745823,0.678518,1.3293
3/9/2016,0.743384,0.674491,1.3417
3/10/2016,0.747105,0.664408,1.32477
3/11/2016,0.746213,0.668896,1.33378
3/14/2016,0.756315,0.674082,1.32357
3/15/2016,0.752106,0.668494,1.32728
3/16/2016,0.746324,0.661244,1.3354
3/17/2016,0.754717,0.674082,1.3116
3/18/2016,0.764994,0.683901,1.2984
3/21/2016,0.759763,0.67769,1.3046
3/22/2016,0.757174,0.676682,1.3092
3/23/2016,0.762021,0.6749,1.30501
3/24/2016,0.753352,0.672179,1.321
3/25/2016,0.752672,0.670286,1.32508
3/28/2016,0.750582,0.66778,1.3271
3/29/2016,0.755687,0.674218,1.31747
3/30/2016,0.764,0.686908,1.3063
3/31/2016,0.766107,0.690322,1.29766
4/1/2016,0.766989,0.692089,1.29906
4/4/2016,0.766871,0.689703,1.3036
4/5/2016,0.759994,0.681385,1.30767
4/6/2016,0.754603,0.680041,1.31412
4/7/2016,0.761209,0.683293,1.30808
4/8/2016,0.751371,0.678196,1.314
4/11/2016,0.756487,0.68171,1.29791
4/12/2016,0.759474,0.686106,1.29088
4/13/2016,0.768521,0.692377,1.2766
4/14/2016,0.766225,0.691515,1.28179
4/15/2016,0.769586,0.686483,1.2839
4/18/2016,0.764,0.688279,1.2979
4/19/2016,0.777122,0.698422,1.27692
4/20/2016,0.779666,0.703235,1.26962
4/21/2016,0.780214,0.697691,1.26455
4/22/2016,0.774293,0.690703,1.27243
4/25/2016,0.771081,0.686719,1.26702
4/26/2016,0.771724,0.687522,1.2675
4/27/2016,0.774773,0.689322,1.2608
4/28/2016,0.760398,0.692617,1.25838
4/29/2016,0.763417,0.696379,1.2553
5/2/2016,0.761731,0.70028,1.2543
5/3/2016,0.766378,0.703482,1.2529
5/4/2016,0.749963,0.693193,1.27001
5/5/2016,0.746714,0.688942,1.2862
5/6/2016,0.747608,0.689322,1.2852
5/9/2016,0.737626,0.684182,1.29281
5/10/2016,0.731689,0.677186,1.29568
5/11/2016,0.7373,0.680087,1.29163
5/12/2016,0.735781,0.681989,1.286
5/13/2016,0.731797,0.681989,1.2841
5/16/2016,0.727484,0.676819,1.29548
5/17/2016,0.72881,0.67838,1.28989
5/18/2016,0.731368,0.679717,1.29104
5/19/2016,0.7227,0.676178,1.3023
5/20/2016,0.723223,0.676178,1.3086
5/23/2016,0.722804,0.67659,1.3124
5/24/2016,0.722387,0.675356,1.3145
5/25/2016,0.719062,0.675311,1.3125
5/26/2016,0.718649,0.670916,1.3034
5/27/2016,0.722596,0.675311,1.29753
5/30/2016,0.718494,0.669389,1.3046
5/31/2016,0.71958,0.671006,1.3038
6/1/2016,0.723694,0.678518,1.30762
6/2/2016,0.725005,0.682082,1.30751
6/3/2016,0.723118,0.681803,1.3094
6/6/2016,0.7347,0.693914,1.29593
6/7/2016,0.737354,0.691372,1.28137
6/8/2016,0.744602,0.695314,1.27567
6/9/2016,0.749681,0.712911,1.2684
6/10/2016,0.741675,0.711794,1.27294
6/13/2016,0.737409,0.705119,1.27823
6/14/2016,0.738116,0.704424,1.28282
6/15/2016,0.735619,0.698714,1.28606
6/16/2016,0.74162,0.707914,1.2908
6/17/2016,0.738716,0.706265,1.29169
6/20/2016,0.743108,0.708918,1.28479
6/21/2016,0.746102,0.711693,1.2798
6/22/2016,0.745379,0.713216,1.2802
6/23/2016,0.751428,0.716178,1.2814
6/24/2016,0.753523,0.719994,1.2832
6/27/2016,0.743108,0.709421,1.3021
6/28/2016,0.735727,0.701607,1.30657
6/29/2016,0.740521,0.707814,1.3019
6/30/2016,0.746993,0.712403,1.29343
7/1/2016,0.744879,0.713623,1.2958
7/4/2016,0.74638,0.717618,1.2911
7/5/2016,0.753012,0.721397,1.28673
7/6/2016,0.74438,0.713216,1.30056
7/7/2016,0.75188,0.713419,1.296
7/8/2016,0.7494,0.723484,1.2997
7/11/2016,0.755915,0.729874,1.3045
7/12/2016,0.753807,0.723014,1.3123
7/13/2016,0.760572,0.729341,1.30576
7/14/2016,0.759647,0.726216,1.29743
7/15/2016,0.761499,0.716281,1.29083
7/18/2016,0.759013,0.707464,1.29569
7/19/2016,0.757518,0.703878,1.2958
7/20/2016,0.750751,0.704771,1.30266
7/21/2016,0.747161,0.69667,1.30672
7/22/2016,0.750694,0.700771,1.30737
7/25/2016,0.747608,0.701066,1.31355
7/26/2016,0.747608,0.699839,1.32229
7/27/2016,0.751654,0.706764,1.31755
7/28/2016,0.751744,0.709471,1.31373
7/29/2016,0.751258,0.709069,1.31519
8/1/2016,0.758783,0.719011,1.30583
8/2/2016,0.752842,0.71736,1.31225
8/3/2016,0.759994,0.720981,1.31054
8/4/2016,0.759013,0.715666,1.30695
8/5/2016,0.764,0.718081,1.30154
8/8/2016,0.76118,0.711896,1.31799
8/9/2016,0.766049,0.714643,1.31553
8/10/2016,0.76646,0.716435,1.31168
8/11/2016,0.771545,0.728969,1.3056
8/12/2016,0.769586,0.721188,1.29841
8/15/2016,0.765638,0.719269,1.29587
8/16/2016,0.767636,0.721657,1.29275
8/17/2016,0.770078,0.728916,1.28633
8/18/2016,0.766401,0.726903,1.28443
8/19/2016,0.767872,0.728332,1.27758
8/22/2016,0.760803,0.724953,1.28916
8/23/2016,0.763009,0.728491,1.294
8/24/2016,0.761383,0.727643,1.29195
8/25/2016,0.761035,0.731797,1.29314
8/26/2016,0.762486,0.730247,1.29124
8/29/2016,0.754432,0.722596,1.30148
8/30/2016,0.757748,0.726111,1.301
8/31/2016,0.752445,0.724113,1.30867
9/1/2016,0.751993,0.724585,1.31092
9/2/2016,0.755287,0.729395,1.3094
9/5/2016,0.756487,0.729607,1.2994
9/6/2016,0.759301,0.731101,1.29292
9/7/2016,0.768817,0.742225,1.28459
9/8/2016,0.76693,0.745156,1.28821
9/9/2016,0.765052,0.740576,1.2921
9/12/2016,0.754489,0.733622,1.3048
9/13/2016,0.756716,0.736377,1.303
9/14/2016,0.746938,0.725111,1.31577
9/15/2016,0.748223,0.72722,1.31936
9/16/2016,0.751315,0.732279,1.3159
9/19/2016,0.750188,0.727484,1.31987
9/20/2016,0.75375,0.73046,1.3202
9/21/2016,0.755801,0.732279,1.31818
9/22/2016,0.763242,0.734592,1.30826
9/23/2016,0.764935,0.731368,1.30469
9/26/2016,0.761615,0.723537,1.31516
9/27/2016,0.763382,0.727643,1.32274
9/28/2016,0.766989,0.729661,1.3207
9/29/2016,0.769408,0.728597,1.30642
9/30/2016,0.762835,0.724585,1.31527
10/3/2016,0.764409,0.726586,1.31326
10/4/2016,0.76864,0.729714,1.31159
10/5/2016,0.761093,0.718804,1.31965
10/6/2016,0.762369,0.717257,1.3177
10/7/2016,0.757805,0.716384,1.322
10/10/2016,0.759994,0.717206,1.32514
10/11/2016,0.759994,0.71286,1.3167
10/12/2016,0.756258,0.708366,1.32292
10/13/2016,0.755801,0.704821,1.32754
10/14/2016,0.756372,0.708667,1.32023
10/17/2016,0.759647,0.709019,1.31417
10/18/2016,0.764059,0.717412,1.31148
10/19/2016,0.76746,0.720617,1.31079
10/20/2016,0.772618,0.723223,1.31333
10/21/2016,0.763301,0.719114,1.3227
10/24/2016,0.760225,0.715666,1.3353
10/25/2016,0.759417,0.713012,1.3349
10/26/2016,0.765052,0.716897,1.3352
10/27/2016,0.764994,0.71541,1.33739
10/28/2016,0.759013,0.712657,1.33873
10/31/2016,0.759821,0.716589,1.3402
11/1/2016,0.760746,0.71582,1.34188
11/2/2016,0.764526,0.720721,1.3391
11/3/2016,0.765345,0.728385,1.3394
11/4/2016,0.76858,0.733245,1.33921
11/7/2016,0.767872,0.732064,1.33593
11/8/2016,0.772022,0.733891,1.33708
11/9/2016,0.774593,0.737137,1.32955
11/10/2016,0.764935,0.728969,1.34124
11/11/2016,0.760861,0.721813,1.34704
11/14/2016,0.754945,0.710985,1.35263
11/15/2016,0.757117,0.713216,1.35379
11/16/2016,0.755344,0.709522,1.34549
11/17/2016,0.749457,0.709723,1.34264
11/18/2016,0.739809,0.702099,1.35363
11/21/2016,0.732332,0.69979,1.3508
11/22/2016,0.737681,0.707764,1.3408
11/23/2016,0.741015,0.706914,1.3432
11/24/2016,0.737463,0.69979,1.35015
11/25/2016,0.741675,0.700918,1.3491
11/28/2016,0.744546,0.70497,1.3516
11/29/2016,0.749457,0.708516,1.34033
11/30/2016,0.748447,0.71347,1.34312
12/1/2016,0.73888,0.707764,1.34254
12/2/2016,0.742115,0.709824,1.33069
12/5/2016,0.74438,0.710278,1.33204
12/6/2016,0.74744,0.714337,1.3272
12/7/2016,0.747217,0.712708,1.3277
12/8/2016,0.748615,0.718236,1.3226
12/9/2016,0.745951,0.71803,1.3195
12/12/2016,0.744823,0.712911,1.31289
12/13/2016,0.749738,0.719994,1.31267
12/14/2016,0.749457,0.720409,1.31344
12/15/2016,0.74107,0.711794,1.32858
12/16/2016,0.736811,0.70492,1.33331
12/19/2016,0.729129,0.696379,1.33393
12/20/2016,0.725111,0.692905,1.34036
12/21/2016,0.726956,0.693001,1.33712
12/22/2016,0.723537,0.690417,1.34318
12/23/2016,0.722178,0.690608,1.34814
12/26/2016,0.717927,0.688563,1.35202
12/27/2016,0.718081,0.688326,1.35225
12/28/2016,0.719114,0.689703,1.35757
12/29/2016,0.718494,0.692713,1.35526
12/30/2016,0.723484,0.697204,1.34781
1/2/2017,0.720981,0.693433,1.3434
1/3/2017,0.719683,0.693193,1.34414
1/4/2017,0.722993,0.692377,1.34218
1/5/2017,0.728704,0.69633,1.3299
1/6/2017,0.733837,0.702149,1.32294
1/9/2017,0.731208,0.696767,1.32418
1/10/2017,0.735998,0.701804,1.32141
1/11/2017,0.73616,0.698422,1.3244
1/12/2017,0.744713,0.706714,1.31632
1/13/2017,0.748839,0.711187,1.31506
1/16/2017,0.749794,0.71316,1.3126
1/17/2017,0.747328,0.710071,1.3175
1/18/2017,0.75507,0.720279,1.30617
1/19/2017,0.75092,0.712819,1.3265
1/20/2017,0.756659,0.719342,1.33215
1/23/2017,0.757346,0.718969,1.33038
1/24/2017,0.758265,0.72361,1.32377
1/25/2017,0.759244,0.725689,1.31536
1/26/2017,0.757404,0.730082,1.30695
1/27/2017,0.753352,0.724501,1.309
1/30/2017,0.755361,0.727267,1.31315
1/31/2017,0.756544,0.729522,1.31023
2/1/2017,0.758035,0.729432,1.3036
2/2/2017,0.75838,0.725431,1.30487
2/3/2017,0.765462,0.72856,1.30303
2/6/2017,0.767601,0.73147,1.30182
2/7/2017,0.764584,0.731738,1.3085
2/8/2017,0.762253,0.729799,1.31903
2/9/2017,0.763172,0.723552,1.31458
2/10/2017,0.76259,0.719538,1.3133
2/13/2017,0.767012,0.719424,1.31179
